id,Station,Boro,2019,2023
371,Hunts Point Av (6),Bx,"3,174,354","2,140,557"
431,"Intervale Av (2,5)",Bx,"964,689","580,512"
143,Inwood-207 St (A),M,"3,150,731","1,632,951"
433,"Jackson Av (2,5)",Bx,"1,584,727","919,324"
278,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"10,010,419","5,715,839"
254,Jamaica-179 St (F),Q,"6,262,449","3,944,828"
280,Jamaica-Van Wyck (E),Q,"1,412,179","1,010,728"
636,"Jay St-MetroTech (A,C,F,R)",B,"12,238,047","7,343,495"
508,Jefferson St (L),B,"2,237,997","2,075,924"
451,Junction Blvd (7),Q,"6,883,317","6,720,760"
349,Junius St (3),B,"676,092","487,780"
259,"Kew Gardens-Union Turnpike (E,F)",Q,"7,625,674","5,016,215"
51,"Kings Hwy (B,Q)",B,"5,938,819","4,244,252"
250,Kings Hwy (F),B,"1,129,071","711,229"
77,Kings Hwy (N),B,"1,371,311","1,247,257"
